question,prompt,code,asserts
"Detect Pattern of Length M Repeated K or More Times: Given an array of positive integers arr, find a pattern of length m that is repeated k or more times.

A pattern is a subarray (consecutive sub-sequence) that consists of one or more values, repeated multiple times consecutively without overlapping. A pattern is defined by its length and the number of repetitions.

Return true if there exists a pattern of length m that is repeated k or more times, otherwise return false.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Detect Pattern of Length M Repeated K or More Times: Given an array of positive integers arr, find a pattern of length m that is repeated k or more times.

A pattern is a subarray (consecutive sub-sequence) that consists of one or more values, repeated multiple times consecutively without overlapping. A pattern is defined by its length and the number of repetitions.

Return true if there exists a pattern of length m that is repeated k or more times, otherwise return false.

assert containsPattern([1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2], 2, 5) == True
assert containsPattern([1,1,1,2,2,2,3,3], 2, 2) == False

[/Question] [/INST] [Code]

from typing import List
def containsPattern(arr: List[int], m: int, k: int) -> bool:
    i = 0
    while i <= len(arr)-1:
            p = arr[i:i+m]
            if p * k == arr[i:i+m*k]:
                    return True
            i += 1
    return False 

[/Code]
[/STOP] </s>","from typing import List
def containsPattern(arr: List[int], m: int, k: int) -> bool:
    i = 0
    while i <= len(arr)-1:
            p = arr[i:i+m]
            if p * k == arr[i:i+m*k]:
                    return True
            i += 1
    return False","assert containsPattern([1,2,4,4,4,4],1,3)==True
assert containsPattern([1,2,3,1,2,3,1,2,3], 3, 3) == True
assert containsPattern([1,1,1,2,2,2,3,3], 2, 2) == False
assert containsPattern([5,5,5,5,5,5,5], 1, 6) == True
assert containsPattern([1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2], 2, 5) == True
assert containsPattern([10,100,10,100,10,100,10,10,10,100], 2, 4) == False
assert containsPattern([3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3], 4, 3) == True"
"Linear Search is defined as a sequential search algorithm that starts at one end and goes through each element of a list until the desired element is found, otherwise the search continues till the end of the data set. Implement the Linear searching algorithm in python","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Linear Search is defined as a sequential search algorithm that starts at one end and goes through each element of a list until the desired element is found, otherwise the search continues till the end of the data set. Implement the Linear searching algorithm in python



[/Question] [/INST] [Code]

def search(arr: list, x: int) -> int:
        for i in range(0, len(arr)): 
                if (arr[i] == x): 
                        return i 
        return -1
 

[/Code]
[/STOP] </s>","def search(arr: list, x: int) -> int:
        for i in range(0, len(arr)): 
                if (arr[i] == x): 
                        return i 
        return -1
","assert search([2, 3, 4, 10, 40], 10) == 3
assert search([1, 8, 9, 10, 15], 15) == 4
assert search([4, 5, 6, 7, 0], 3) == -1
assert search([], 10) == -1
assert search([42], 42) == 0
assert search([10, 22, 35, 49, 53, 67, 83], 67) == 5
assert search([3, 1, 3, 7, 5], 3) == 0
assert search([1, 2, 3, 4, 5, 6, 7, 8, 9], 1) == 0
assert search([9, 8, 7, 6, 5, 4, 3, 2, 1], 1) == 8
assert search([5, 17, 22, 30, 45, 50, 62], 31) == -1"
"Given a matrix of n*n size, the task is to find whether all rows are circular rotations of each other or not. ","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given a matrix of n*n size, the task is to find whether all rows are circular rotations of each other or not. 

assert isPermutedMatrix([[3, 8], [8, 3]]) == True
assert isPermutedMatrix([[1, 2, 3, 4], [4, 1, 2, 3], [3, 4, 1, 2], [2, 3, 4, 1]]) == True
assert isPermutedMatrix([[13, 5, 7, 9], [5, 7, 9, 13], [7, 9, 13, 5], [9, 13, 5, 7]]) == True

[/Question] [/INST] [Code]


MAX = 1000

def isPermutedMatrix(mat: list) -> bool:
        
        n = len(mat)
        str_cat = """"
        for i in range(n) :
                str_cat = str_cat + ""-"" + str(mat[0][i])

        str_cat = str_cat + str_cat

        for i in range(1, n) :
                curr_str = """"
                
                for j in range(n) :
                        curr_str = curr_str + ""-"" + str(mat[i][j])

                if (str_cat.find(curr_str)) : 
                        return True
                        
        return False
 

[/Code]
[/STOP] </s>","
MAX = 1000

def isPermutedMatrix(mat: list) -> bool:
        
        n = len(mat)
        str_cat = """"
        for i in range(n) :
                str_cat = str_cat + ""-"" + str(mat[0][i])

        str_cat = str_cat + str_cat

        for i in range(1, n) :
                curr_str = """"
                
                for j in range(n) :
                        curr_str = curr_str + ""-"" + str(mat[i][j])

                if (str_cat.find(curr_str)) : 
                        return True
                        
        return False
","assert isPermutedMatrix([[1, 2, 3, 4], [4, 1, 2, 3], [3, 4, 1, 2], [2, 3, 4, 1]]) == True
assert isPermutedMatrix([[1, 2, 3], [2, 3, 1], [3, 1, 2]]) == True
assert isPermutedMatrix([[5, 6], [6, 5]]) == True
assert isPermutedMatrix([[13, 5, 7, 9], [5, 7, 9, 13], [7, 9, 13, 5], [9, 13, 5, 7]]) == True
assert isPermutedMatrix([[3, 8], [8, 3]]) == True
assert isPermutedMatrix([[2, 4, 6, 8], [4, 6, 8, 2], [8, 2, 4, 6], [6, 8, 2, 4]]) == True"
"Given a set[] of non-negative integers and a value sum, return the subset of the given set whose sum is equal to the given sum or None if one doesn't exist
","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given a set[] of non-negative integers and a value sum, return the subset of the given set whose sum is equal to the given sum or None if one doesn't exist




[/Question] [/INST] [Code]

def subsetsum(fullset: list, target_sum: int) -> set:
    def subsetSum_helper(cur_idx: int, fullset: list, target_sum: int, subset: list):
        if target_sum == 0:
            return subset
        if (cur_idx == len(fullset)):
            return None
        excluding = subsetSum_helper(cur_idx + 1, fullset, target_sum, subset)
          
        if excluding is not None:
            return excluding
        elif fullset[cur_idx] <= target_sum:
            subset.append(fullset[cur_idx])
            including = subsetSum_helper(cur_idx + 1, fullset, target_sum - fullset[cur_idx], subset)
            if including!=None:
                return including
            else:
                subset.pop()
            return None
    return subsetSum_helper(0, fullset, target_sum, [])
 

[/Code]
[/STOP] </s>","def subsetsum(fullset: list, target_sum: int) -> set:
    def subsetSum_helper(cur_idx: int, fullset: list, target_sum: int, subset: list):
        if target_sum == 0:
            return subset
        if (cur_idx == len(fullset)):
            return None
        excluding = subsetSum_helper(cur_idx + 1, fullset, target_sum, subset)
          
        if excluding is not None:
            return excluding
        elif fullset[cur_idx] <= target_sum:
            subset.append(fullset[cur_idx])
            including = subsetSum_helper(cur_idx + 1, fullset, target_sum - fullset[cur_idx], subset)
            if including!=None:
                return including
            else:
                subset.pop()
            return None
    return subsetSum_helper(0, fullset, target_sum, [])
","assert set(subsetsum([3, 34, 4, 12, 5, 2], 9)) == {4,5}
assert subsetsum([1, 8, 2, 7, 4], 14) == [8, 2, 4]
assert subsetsum([10, 12, 15, 6, 19], 21) == [15, 6]
assert subsetsum([5, 10, 12, 13, 15, 18], 30) == [12, 18]
assert subsetsum([5, 3, 9, 12, 6, 15], 27) == [12, 15]
assert subsetsum([2, 3, 7, 8, 10], 11) == [3, 8]
assert subsetsum([6, 2, 7, 11, 8], 16) == [6, 2, 8]
assert subsetsum([5, 7, 1, 14, 6], 13) == [7, 6]
assert subsetsum([1], 1) == [1]
assert subsetsum([2, 5, 8, 4], 0) == []
assert subsetsum([], 5) == None
assert subsetsum([-1, -2, -3, -4, -5], -10) == None  # Negative numbers are not allowed according to the question
assert subsetsum([4, 1, 2, 5, 12, 7], 9) == [2, 7]
assert subsetsum([3, 5, 8, 4], 22) == None  # Sum exceeds the sum of all elements"
"Given a positive integer n, write a function to find if it is a power of 2 or not","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given a positive integer n, write a function to find if it is a power of 2 or not

assert isPowerOfTwo(64) == True
assert isPowerOfTwo(65) == False
assert isPowerOfTwo(3) == False
assert isPowerOfTwo(999) == False

[/Question] [/INST] [Code]

import math

def Log2(x):
        if x == 0:
                return False

        return (math.log10(x) /
                        math.log10(2))

def isPowerOfTwo(n: int) -> bool:
        return (math.ceil(Log2(n)) ==
                        math.floor(Log2(n)))
 

[/Code]
[/STOP] </s>","import math

def Log2(x):
        if x == 0:
                return False

        return (math.log10(x) /
                        math.log10(2))

def isPowerOfTwo(n: int) -> bool:
        return (math.ceil(Log2(n)) ==
                        math.floor(Log2(n)))
","assert isPowerOfTwo(31) == False
assert isPowerOfTwo(1) == True
assert isPowerOfTwo(1024) == True
assert isPowerOfTwo(3) == False
assert isPowerOfTwo(64) == True
assert isPowerOfTwo(65) == False
assert isPowerOfTwo(8192) == True
assert isPowerOfTwo(16384) == True
assert isPowerOfTwo(999) == False
assert isPowerOfTwo(65536) == True"
"Given an array of n integers. Count the total number of sub-arrays having total distinct elements, the same as that of the total distinct elements of the original array. ","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given an array of n integers. Count the total number of sub-arrays having total distinct elements, the same as that of the total distinct elements of the original array. 



[/Question] [/INST] [Code]


def countDistinctSubarray(arr: list) -> int:
        n = len(arr)
        unst1 = set(arr)
        totalDist = len(unst1)
        count = 0

        for i in range(n):
                unst = set()
                for j in range(i, n):
                        unst.add(arr[j])
                        if len(unst) == totalDist:
                                count += 1

        return count
 

[/Code]
[/STOP] </s>","
def countDistinctSubarray(arr: list) -> int:
        n = len(arr)
        unst1 = set(arr)
        totalDist = len(unst1)
        count = 0

        for i in range(n):
                unst = set()
                for j in range(i, n):
                        unst.add(arr[j])
                        if len(unst) == totalDist:
                                count += 1

        return count
","assert countDistinctSubarray([2, 1, 3, 2, 3]) == 5
assert countDistinctSubarray([1, 2, 3, 4, 5]) == 1
assert countDistinctSubarray([1, 2, 1, 2, 3]) == 3
assert countDistinctSubarray([1]) == 1
assert countDistinctSubarray([]) == 0"
"Given an array containing only 0s and 1s, find the length of the largest subarray which contains equal no of 0s and 1s. The expected time complexity is O(n). If no such array, return -1","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given an array containing only 0s and 1s, find the length of the largest subarray which contains equal no of 0s and 1s. The expected time complexity is O(n). If no such array, return -1



[/Question] [/INST] [Code]

def findSubArray(arr: list) -> int:
        n = len(arr)
        sum = 0
        maxsize = -1
        for i in range(0, n-1):
        
                sum = -1 if(arr[i] == 0) else 1
                for j in range(i + 1, n):
                        sum = sum + (-1) if (arr[j] == 0) else sum + 1

                        if (sum == 0 and maxsize < j-i + 1):
                                
                                maxsize = j - i + 1
                                startindex = i
        return maxsize
 

[/Code]
[/STOP] </s>","def findSubArray(arr: list) -> int:
        n = len(arr)
        sum = 0
        maxsize = -1
        for i in range(0, n-1):
        
                sum = -1 if(arr[i] == 0) else 1
                for j in range(i + 1, n):
                        sum = sum + (-1) if (arr[j] == 0) else sum + 1

                        if (sum == 0 and maxsize < j-i + 1):
                                
                                maxsize = j - i + 1
                                startindex = i
        return maxsize
","assert findSubArray([1, 0, 0, 1, 0, 1, 1]) == 6
assert findSubArray([0, 1, 0, 1, 0, 1, 0, 1]) == 8
assert findSubArray([1, 1, 1, 0, 0, 1, 0, 0, 1]) == 8
assert findSubArray([0, 0, 0, 0, 0, 0, 0, 0, 0, 0]) == -1
assert findSubArray([1, 0, 1, 1, 0, 1, 0, 1, 0]) == 8
assert findSubArray([]) == -1
assert findSubArray([1, 0]) == 2
assert findSubArray([1, 0, 1]) == 2"
Binary Search is defined as a searching algorithm used in a sorted array by repeatedly dividing the search interval in half. The idea of binary search is to use the information that the array is sorted and reduce the time complexity to O(log N). Write the algorithm for binary search in python,"<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Binary Search is defined as a searching algorithm used in a sorted array by repeatedly dividing the search interval in half. The idea of binary search is to use the information that the array is sorted and reduce the time complexity to O(log N). Write the algorithm for binary search in python

assert binarySearch([15], 5) == -1

[/Question] [/INST] [Code]

def binarySearch(arr: list, x: int) -> int:
        l = 0
        r = len(arr) - 1
        while l <= r:
                mid = l + (r - l) // 2
                if arr[mid] == x:
                        return mid

                elif arr[mid] < x:
                        l = mid + 1

                else:
                        r = mid - 1

        return -1
 

[/Code]
[/STOP] </s>","def binarySearch(arr: list, x: int) -> int:
        l = 0
        r = len(arr) - 1
        while l <= r:
                mid = l + (r - l) // 2
                if arr[mid] == x:
                        return mid

                elif arr[mid] < x:
                        l = mid + 1

                else:
                        r = mid - 1

        return -1
","assert binarySearch([2, 3, 4, 10, 40], 10) == 3
assert binarySearch([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 1) == 0
assert binarySearch([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 5) == 4
assert binarySearch([5, 7, 10, 12, 14, 18, 22], 22) == 6
assert binarySearch([11, 22, 33, 44, 55, 66, 77, 88, 99], 100) == -1
assert binarySearch([], 1) == -1
assert binarySearch([1], 1) == 0
assert binarySearch([0, 2, 4, 6, 8, 10, 12, 14, 16, 18], 12) == 6
assert binarySearch([10, 20, 30, 40, 50, 60, 70, 80, 90], 45) == -1
assert binarySearch([-10, -5, 0, 5, 10], 0) == 2
assert binarySearch([-10, -5, 0, 5, 10], -10) == 0
assert binarySearch([-10, -5, 0, 5, 10], 10) == 4
assert binarySearch([15], 5) == -1
assert binarySearch([100, 200, 300, 400, 500], 300) == 2
assert binarySearch([100, 200, 300, 400, 500], 600) == -1"
"Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory.

assert reverse_string([""p"", ""y"", ""t"", ""h"", ""o"", ""n""]) == [""n"", ""o"", ""h"", ""t"", ""y"", ""p""]
assert reverse_string([""s"", ""i"", ""n"", ""g"", ""l"", ""e""]) == [""e"", ""l"", ""g"", ""n"", ""i"", ""s""]

[/Question] [/INST] [Code]

def reverse_string(s: list) -> list:
  l = 0
  r = len(s) - 1
  while l < r:
    tmp = s[l]
    s[l] = s[r]
    s[r] = tmp
    l += 1
    r -= 1
  return s
 

[/Code]
[/STOP] </s>","def reverse_string(s: list) -> list:
  l = 0
  r = len(s) - 1
  while l < r:
    tmp = s[l]
    s[l] = s[r]
    s[r] = tmp
    l += 1
    r -= 1
  return s
","assert reverse_string([""a"",""b"",""c"",""d""]) == [""d"", ""c"", ""b"", ""a""]
assert reverse_string([""p"", ""y"", ""t"", ""h"", ""o"", ""n""]) == [""n"", ""o"", ""h"", ""t"", ""y"", ""p""]
assert reverse_string([]) == []
assert reverse_string([""s"", ""i"", ""n"", ""g"", ""l"", ""e""]) == [""e"", ""l"", ""g"", ""n"", ""i"", ""s""]
assert reverse_string([""A""]) == [""A""]
assert reverse_string([""9"", ""8"", ""7"", ""6"", ""5"", ""4"", ""3"", ""2"", ""1""]) == [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]
assert reverse_string([""B"", ""o"", ""b""]) == [""b"", ""o"", ""B""]
assert reverse_string([""r"", ""e"", ""v"", ""e"", ""r"", ""s"", ""e""]) == [""e"", ""s"", ""r"", ""e"", ""v"", ""e"", ""r""]
assert reverse_string([""1"", ""*"", ""2"", ""*"", ""3""]) == [""3"", ""*"", ""2"", ""*"", ""1""]"
Given an array of integers. Write a program to find the K-th largest sum of contiguous subarray within the array of numbers that has both negative and positive numbers.,"<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples / Explanations along with the question. The question will be given under the heading ""Question:"" and the examples or explanations will be given under ""Example / Explanation:"". Your job is to generate the code and complete the content under the heading title ""Code:"". 
<</SYS>>


[Question]
        
Given an array of integers. Write a program to find the K-th largest sum of contiguous subarray within the array of numbers that has both negative and positive numbers.



[/Question] [/INST] [Code]

def kthLargestSum(arr: list, K: int) -> int:
    N = len(arr)
    result = []
    for i in range(N):
        sum = 0
        for j in range(i, N):
                sum += arr[j]
                result.append(sum)

    result.sort(reverse=True)

    return result[K - 1]
 

[/Code]
[/STOP] </s>","def kthLargestSum(arr: list, K: int) -> int:
    N = len(arr)
    result = []
    for i in range(N):
        sum = 0
        for j in range(i, N):
                sum += arr[j]
                result.append(sum)

    result.sort(reverse=True)

    return result[K - 1]
","assert kthLargestSum([20, -5, -1], 3) == 14
assert kthLargestSum([10, -10, 20, -40], 6) == -10
assert kthLargestSum([0, 0, 0, 0, 0], 1) == 0
assert kthLargestSum([2, 3, -2, -1, 10], 9) == 2"
