Question,Examples,Code,Categories,Link for ref (if any),Assert Statement 1
Given an array reorder it so that even numbers appear first,"Input: [1,2,3,4,5,6,7,8,9]
Output: [8,2,6,4,5,7,3,9,1]","def even_odd_reorder(arr: list):
  nextEven = 0
  nextOdd = len(arr) - 1
  while nextEven < nextOdd:
    if arr[nextEven] % 2 == 0:
      nextEven += 1
    else:
      temp = arr[nextEven]
      arr[nextEven] = arr[nextOdd]
      arr[nextOdd] = temp
      nextOdd -= 1
  return arr","['array', 'sorting']",,"assert even_odd_reorder([1,2,3,4,5,6,7,8,9]) == [8, 2, 6, 4, 5, 7, 3, 9, 1]"
Given an array with 3 different values sort the array,DITCH,"def dutch_flag_partition(arr: list):
  def swap(i,j):
    tmp = arr[i]
    arr[i] = arr[j]
    arr[j] = tmp
  min_val = min(arr)
  max_val = max(arr)
  mid = None
  for i in range(len(arr)):
    if arr[i] > min_val and arr[i] < max_val:
      mid = arr[i]
      break
  smaller = 0
  for i in range(len(arr)):
    if arr[i] < mid:
      swap(smaller,i)
      smaller += 1
  larger = len(arr) - 1
  for j in range(len(arr) - 1, 0, -1):
    if arr[j] < mid:
      break
    elif arr[j] > mid:
      swap(larger,j)
      larger -= 1
  return arr","['array', 'sorting']",,"assert dutch_flag_partition([1, 1, 1, 1, 0, 2, 1, 1, 1, 2])[:-1] <= dutch_flag_partition([1, 1, 1, 1, 0, 2, 1, 1, 1, 2])[1:]"
Given two arrays return an array with the set intersection of their common elements,"Input: arr1 = [1, 2, 3, 4], arr2 = [2, 3]
Output: [2, 3]","def array_intersection(arr1: list, arr2: list):
  set1 = set(arr1)
  ret = set([x for x in arr2 if x in set1])
  return list(ret)",['array'],,"assert set(array_intersection([1,0,2,0,2,0,2,1,1,1], [2,1,0,2,0,2,2,2,1,0])) == {0,1,2}"
"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must appear as many times as it shows in both arrays and you may return the result in any order.",,"def array_intersection_with_freq(arr1: list, arr2: list):
  freq = dict()
  ret = []
  for num in arr1:
      if num in freq.keys():
          freq[num] = freq[num]+1
      else:
          freq[num] = 1
  for num in arr2:
      if num in freq.keys() and freq[num] > 0:
          ret.append(num)
          freq[num] = freq[num] - 1
  return ret",['array'],,"assert array_intersection_with_freq([1,0,2,0,2,0,2,1,1,1], [2,1,0,2,0,2,2,2,1,0]) == [2, 1, 0, 2, 0, 2, 1, 0]"
"You are given two 0-indexed integer permutations A and B of length n.

A prefix common array of A and B is an array C such that C[i] is equal to the count of numbers that are present at or before the index i in both A and B.

Return the prefix common array of A and B.

A sequence of n integers is called a permutation if it contains all integers from 1 to n exactly once.","Input: A = [1,3,2,4], B = [3,1,2,4]
Output: [0,2,3,4]","def findThePrefixCommonArray(arr1: list, arr2: list):
  max = len(arr1) if len(arr1) > len(arr2) else len(arr2)
  seen = set()
  curCount = 0
  ret = []
  for i in range(max):
    cur1 = arr1[i]
    cur2 = arr2[i]
    if cur1 in seen:
      curCount += 1
    else:
      seen.add(cur1)
    if cur2 in seen:
      curCount += 1
    else:
      seen.add(cur2)
    ret.append(curCount)
  return ret",['array'],https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/,"assert findThePrefixCommonArray([1,3,2,4], [3,1,2,4]) == [0,2,3,4]"
Given a N*N board with the Knight placed on the first block of an empty board. Moving according to the rules of chess knight must visit each square exactly once. Return the order of each cell in which they are visited as a matrix or none if one does not exist.,"Input : 
N = 8
Output:
0  59  38  33  30  17   8  63
37  34  31  60   9  62  29  16
58   1  36  39  32  27  18   7
35  48  41  26  61  10  15  28
42  57   2  49  40  23   6  19
47  50  45  54  25  20  11  14
56  43  52   3  22  13  24   5
51  46  55  44  53   4  21  12","def isSafe(x, y, board, n): 
  if(x >= 0 and y >= 0 and x < n and y < n and board[x][y] == -1): 
    return True
  return False

def solveKT(n): 
  board = [[-1 for i in range(n)]for i in range(n)]
  move_x = [2, 1, -1, -2, -2, -1, 1, 2] 
  move_y = [1, 2, 2, 1, -1, -2, -2, -1] 
  board[0][0] = 0 
  pos = 1
  if(not solveKTUtil(n, board, 0, 0, move_x, move_y, pos)): 
      return None
  else: 
      return board 
  
  
def solveKTUtil(n, board, curr_x, curr_y, move_x, move_y, pos): 
  if(pos == n**2): 
    return True
  for i in range(8): 
    new_x = curr_x + move_x[i] 
    new_y = curr_y + move_y[i] 
    if(isSafe(new_x, new_y, board, n)): 
      board[new_x][new_y] = pos 
      if(solveKTUtil(n, board, new_x, new_y, move_x, move_y, pos+1)): 
        return True
      board[new_x][new_y] = -1
  return False","['backtracking', 'matrix/grid']",https://www.geeksforgeeks.org/the-knights-tour-problem/,"assert solveKT(8) == [[0,59,38,33,30,17, 8,63 ],
[37,34,31,60, 9,62,29,16],
[58, 1,36,39,32,27,18, 7],
[35,48,41,26,61,10,15,28],
[42,57, 2,49,40,23, 6,19],
[47,50,45,54,25,20,11,14],
[56,43,52, 3,22,13,24, 5],
[51,46,55,44,53, 4,21,12]]"
"A Maze is given as N*N binary matrix of blocks where source block is maze[0][0] and destination block is maze[N-1][N-1]. 
A rat starts from source and has to reach the destination. The rat can move only in two directions: forward and down. 

In the maze matrix, 0 means the block is a dead end and 1 means the block can be used in the path from source to destination. 
Given an N*N input maze Output a N*N matrix where all entries in the solution path are marked as 1 or output None if no solution exists.",DITCH,"def isValid(n, maze, x, y, res):
  if x >= 0 and y >= 0 and x < n and y < n and maze[x][y] == 1 and res[x][y] == 0:
    return True
  return False

def RatMaze(n, maze, move_x, move_y, x, y, res):
  if x == n-1 and y == n-1:
    return True
  for i in range(4):
    x_new = x + move_x[i]
    y_new = y + move_y[i]
    if isValid(n, maze, x_new, y_new, res):
      res[x_new][y_new] = 1
      if RatMaze(n, maze, move_x, move_y, x_new, y_new, res):
          return True
      res[x_new][y_new] = 0
  return False
 
def solveMaze(maze):
  n = len(maze)
  res = [[0 for i in range(n)] for i in range(n)]
  res[0][0] = 1
  move_x = [-1, 1, 0, 0]
  move_y = [0, 0, -1, 1]
  if RatMaze(n, maze, move_x, move_y, 0, 0, res):
    return res
  else:
    return None","['backtracking', 'matrix/grid']",https://www.geeksforgeeks.org/rat-in-a-maze/?ref=lbp,"assert solveMaze([[1, 0, 0, 0],[1, 1, 0, 1],[0, 1, 0, 0],[1, 1, 1, 1]]) == [[1, 0, 0, 0], [1, 1, 0, 0], [0, 1, 0, 0], [0, 1, 1, 1]]"
"Given an input N for a NxN chessboard place N queens such that no two queens attack each other. Return the NxN board with the Queens marked as Q. If the problem is not solvable return Solution does not exist
",DITCH,"def isSafe(board, row, col):
  for i in range(col):
    if board[row][i] == ""Q"":
      return False
  for i, j in zip(range(row, -1, -1), range(col, -1, -1)):
    if board[i][j] == ""Q"":
      return False
  for i, j in zip(range(row, len(board), 1), range(col, -1, -1)):
    if board[i][j] == ""Q"":
      return False

  return True
 
def solveNQUtil(board, col):
  if col >= len(board):
    return True
  for i in range(len(board)):
    if isSafe(board, i, col):
      board[i][col] = ""Q""
      if solveNQUtil(board, col + 1) == True:
        return True
      board[i][col] = '.'
  return False

def solveNQ(N):
  board = []
  for row in range(N):
    board.append(['.']*N)
  if solveNQUtil(board, 0) == False:
    return None
  return board","['backtracking', 'matrix/grid']",https://www.geeksforgeeks.org/n-queen-problem-backtracking-3/,"assert solveNQ(4) == [['.', '.', 'Q', '.'], ['Q', '.', '.', '.'], ['.', '.', '.', 'Q'], ['.', 'Q', '.', '.']]"
"Given a set[] of non-negative integers and a value sum, return the subset of the given set whose sum is equal to the given sum or None if one doesn't exist
","Input: set = [1, 2, 3, 4, 5], sum = 10
Output: [1, 2, 3, 4]","def subsetSum_helper(cur_idx: int, fullset: list, target_sum: int, subset: list):
  if target_sum == 0:
    return subset

  if (cur_idx == len(fullset)):
    return None
  
  excluding = subsetSum_helper(cur_idx + 1, fullset, target_sum, subset)
  if excluding is not None:
    return excluding
  elif fullset[cur_idx] <= target_sum:
    subset.append(fullset[cur_idx])
    including = subsetSum_helper(cur_idx + 1, fullset, target_sum - fullset[cur_idx], subset)
    if including is not None:
      return including
    else:
      subset.pop()
  return None

def subsetsum(fullset: list, target_sum: int):
  return subsetSum_helper(0, fullset, target_sum, [])","['backtracking', 'recursion']",https://www.geeksforgeeks.org/subset-sum-problem-dp-25/,"assert set(subsetsum([3, 34, 4, 12, 5, 2], 9)) == set([4,5])"
"Given an undirected graph in the form of an adjacency matrix and a number m, color the graph with m colors such that no two adjacent vertices share the same color. Return a list of colors for each vertex or None if no solution exists.",Assert not matching the Code,"def isSafe(graph, v, colour, c):
  for i in range(len(graph)):
    if graph[v][i] == 1 and colour[i] == c:
      return False
  return True

def graphColourUtil(graph, m, colour, v):
  if v == len(graph):
    return True

  for c in range(1, m + 1):
    if isSafe(graph, v, colour, c) == True:
      colour[v] = c
      if graphColourUtil(graph, m, colour, v + 1) == True:
        return True
      colour[v] = 0

def graphColouring(graph:[[int]], m):
  colour = [0] * len(graph)
  if graphColourUtil(graph, m, colour, 0):
    return colour
  else:
    return None","['backtracking', 'graph']",https://www.geeksforgeeks.org/m-coloring-problem/,"assert graphColouring( [[0, 1, 1, 1],[1, 0, 1, 0],[1, 1, 0, 1],[1, 0, 1, 0]], 3) == [1, 2, 3, 2]"
